"id","type","oms","kleur","fiets_soort_id","cat_code","cat_oms","soort","trefwoord"
"PL0100_BVH_2013003587","TALON","GIANT","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","ATB"
"PL0100_BVH_2013003588",NA,"BATAVUS","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013003612","SOLIDE","GAZELLE","BRONSKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013003658",NA,"SPARTA","WIT","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013003660","KAPTEIN","UNION","GROEN",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013003684",NA,"FONGERS","ZWART",NA,"DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013003725","CUMBERLAND URBA","ONBEKEND","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013003727",NA,"BATAVUS","ROOD",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013003736","ORANGE XTRA","GAZELLE","MEERKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013003767",NA,"RANGER","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013003793","STREETWISE","BATAVUS","GROEN","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","KINDER"
"PL0100_BVH_2013003846","ORANGE","GAZELLE","GRIJS","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013003846","ORANGE","GAZELLE","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013004166","ORANGE PREMIUM","GAZELLE","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013004178","DELTA H57","UNION","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013004363",NA,"ONBEKEND","ZWART","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013004365","DIVA","BATAVUS","ZILVERKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013004365","DIVA","BATAVUS","ZILVERKLEURIG","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013004372","INTERMEZZO LX","BATAVUS","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013004374","POSTCODELOTERIJ","UNION","WIT","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS",NA
"PL0100_BVH_2013004377",NA,"ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
