"id","type","merk","kleur","trefwoord","soort"
"PL0100_BVH_3498079","ECLIPS","BATAVUS","MEERKLEURIG","HEREN","heren"
"PL0100_BVH_1403979","MADELIEF","GAZELLE","BLAUW","KINDER","overig"
"PL0100_BVH_3252703","ECLIPSE ECLIPSE","GAZELLE","ONBEKEND","HEREN","heren"
"PL0100_BVH_3274747",NA,"BATAVUS","GRIJS",NA,NA
"PL0100_BVH_2196679","HERENFIETS DUBB","AZOR","ZWART","HEREN","heren"
"PL0100_BVH_1356543","ORANGE PURE INN","GAZELLE","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_1885568","HERENFIETS","ALTRA","GRIJS","HEREN","heren"
"PL0100_BVH_1179375","INVASION","BMX","ZWART","CROSS","sport"
"PL0100_BVH_1474036",NA,"SPARTA","CREME","DAMES","dames"
"PL0100_BVH_1943910","TOUR DE FRANCE","GAZELLE","ZILVERKLEURIG","HEREN","heren"
"PL0100_BVH_1625620","CROSS FLYER DIS","BULLS","ZWART","CROSS","sport"
"PL0100_BVH_1456445",NA,"GAZELLE","BLAUW","HEREN","heren"
"PL0100_BVH_1509862","MISS GRACE","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_2783558","SOUL","CORTINA","ZWART","DAMES","dames"
"PL0100_BVH_1354654","HEAVYDUTY NL","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1947540",NA,"AZOR","ZWART","OPOE","opoe"
"PL0100_BVH_1900396","APOLLO H57 N3RB","SPARTA","ONBEKEND","HEREN","heren"
"PL0100_BVH_3654988","BLACK WIDOW","PUCH","ZWART","DAMES","dames"
"PL0100_BVH_3032430","CROSSHYBRIDE","MERIDA","ZWART","CROSS","sport"
"PL0100_BVH_2620027","AMELAND","AZOR","ZWART","DAMES","dames"
"PL0100_BVH_1758463","CARRIER 28"" ZWA","CUMBERLAND","ZWART","DAMES","dames"
"PL0100_BVH_1330046","GLORIE","POINTER","PAARS","OPOE","opoe"
"PL0100_BVH_2085866",NA,"ONBEKEND","GROEN","HEREN","heren"
"PL0100_BVH_2683855","OPOEFIETS","CORTINA","ZWART","OPOE","opoe"
"PL0100_BVH_1258125",NA,"SPARTA","BLAUW","HEREN","heren"
"PL0100_BVH_1913325","GREEN PARK D53","BATAVUS","ZWART","DAMES","dames"
"PL0100_BVH_1913329","LUZERN EXCELL L","GAZELLE","ONBEKEND","DAMES","dames"
"PL0100_BVH_2325401",NA,"BATAVUS","ZWART","DAMES","dames"
"PL0100_BVH_2574740","ORANGE","GAZELLE","GROEN","HEREN","heren"
"PL0100_BVH_1137443","OPOEFIETS","RANGER","WIT","DAMES","dames"
"PL0100_BVH_1125850",NA,"BATAVUS","CHROOMKLEURIG","HEREN","heren"
"PL0100_BVH_1402948","LIVE","BATAVUS","PAARS","DAMES","dames"
"PL0100_BVH_1100337","MOTION C2","SPARTA","BLAUW","ELEKTRISCHE","electrisch"
"PL0100_BVH_3386752","SPECTRA","RIH","GRIJS","DAMES","dames"
"PL0100_BVH_1264213","OLD DUTCH PLUS","BATAVUS","WIT","DAMES","dames"
"PL0100_BVH_2662463","ORANGE PLUS","GAZELLE","ZWART","HEREN","heren"
"PL0100_BVH_2832342","INTERMEZZO","BATAVUS","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_1493743","DAMESFIETS","UNION","ZWART","OPOE","opoe"
"PL0100_BVH_1524636",NA,"GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1859454",NA,"GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_1211699","OMA FIETS","REFLECTION","ZWART","DAMES","dames"
"PL0100_BVH_1486885","TRIPLE X CS2","GIANT","GRIJS","HEREN","heren"
"PL0100_BVH_3629962",NA,"GAZELLE","CREME","DAMES","dames"
"PL0100_BVH_2166104","MISS GRACE","GAZELLE","BLAUW","DAMES","dames"
"PL0100_BVH_2361427","TRADITION","PUCH","ZWART","OPOE","opoe"
"PL0100_BVH_2525487","PARIS PLUS PARI","GAZELLE","ONBEKEND","HEREN","heren"
"PL0100_BVH_2766700","BUB","BATAVUS","ZWART","HEREN","heren"
"PL0100_BVH_1746580","MASARI","SPARTA","GRIJS","HEREN","heren"
"PL0100_BVH_1195012","LIBERTY N7 GEMB","MONTEGO","GEEL","DAMES","dames"
"PL0100_BVH_3654277","SEVILLA","BATAVUS","ZWART","DAMES","dames"
"PL0100_BVH_1525963","ECLIPSE ECLIPSE","GAZELLE","ONBEKEND","DAMES","dames"
"PL0100_BVH_1525963","ECLIPSE ECLIPSE","GAZELLE","ONBEKEND","DAMES","dames"
"PL0100_BVH_1128212","NF","GAZELLE","BLAUW","ELEKTRISCHE","electrisch"
"PL0100_BVH_1351279","COSMO CS 2","GIANT","BLAUW","DAMES","dames"
"PL0100_BVH_1971419","ORANGE C7","GAZELLE","GRIJS","HEREN","heren"
"PL0100_BVH_1340037","VOLKSKRANTFIETS","ONBEKEND","ZWART","OPOE","opoe"
"PL0100_BVH_1397821",NA,"BATAVUS","BLAUW","HEREN","heren"
"PL0100_BVH_1833063","IMPALA","GAZELLE","GROEN","HEREN","heren"
"PL0100_BVH_1300646",NA,"GAZELLE","ZWART","HEREN","heren"
"PL0100_BVH_1315586",NA,"ONBEKEND","ZWART","OPOE","opoe"
"PL0100_BVH_2138413",NA,"KOGA","ONBEKEND","DAMES","dames"
"PL0100_BVH_2451091","AMAZON","SPARTA","WIT","DAMES","dames"
"PL0100_BVH_2976102","WEEKEND","BATAVUS","BEIGE","HEREN","heren"
"PL0100_BVH_3324371","OPOEFIETS","ONBEKEND","ZWART",NA,NA
"PL0100_BVH_1176771","ZWARTE CUSTUM H","ONBEKEND","ZWART","HEREN","heren"
"PL0100_BVH_1176771","ZWARTE CUSTUM H","ONBEKEND","ZWART","HEREN","heren"
"PL0100_BVH_1128993","POPULAIR","GAZELLE","ZWART","OPOE","opoe"
"PL0100_BVH_1128993","POPULAIR","GAZELLE","ZWART","OPOE","opoe"
"PL0100_BVH_1295528","PARIS PLUS","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_2148925","PALEO","SPARTA","BLAUW","HEREN","heren"
"PL0100_BVH_3506582",NA,"CUBE","ROOD","DAMES","dames"
"PL0100_BVH_1477483","ONBEKEND","ONBEKEND","ZILVERKLEURIG","OPOE","opoe"
"PL0100_BVH_1822821","HERO","SPARTA","BLAUW","DAMES","dames"
"PL0100_BVH_1462593",NA,"ON THE ROAD","ZWART","OPOE","opoe"
"PL0100_BVH_1436956","-VEROUDERD-","BATAVUS","BLAUW","HEREN","heren"
"PL0100_BVH_1091344",NA,"BATAVUS","GRIJS",NA,NA
"PL0100_BVH_1354644","ORANGE","GAZELLE","BLAUW","HEREN","heren"
"PL0100_BVH_2176134",NA,"GIANT","GRIJS","DAMES","dames"
"PL0100_BVH_2176736","ECLIPSE  L.E.","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_2176736","ECLIPSE  L.E.","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_2290999","ULTIMATE EXC.","GAZELLE","CREME","SPORT","sport"
"PL0100_BVH_1983489","GAVIA DV24 VULK","BATAVUS","ONBEKEND","DAMES","dames"
"PL0100_BVH_1409325","TWIST GO DOUBLE","GIANT","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_1823047",NA,"UNION","ZWART","DAMES","dames"
"PL0100_BVH_1376648","NL","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_2675694","MISS GRACE INN","GAZELLE","WIT","ELECTRISCH","electrisch"
"PL0100_BVH_2769187","STADSFIETS","GAZELLE","GROEN","DAMES","dames"
"PL0100_BVH_2407780","CRUSH","CORTINA","ZWART","HEREN","heren"
"PL0100_BVH_3019054",NA,"BATAVUS","ONBEKEND","DAMES","dames"
"PL0100_BVH_2044845","LEONTIEN","MONTEGO","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_1506396","EXTREME SPECIAL","GAZELLE","ROOD","ATB","sport"
"PL0100_BVH_2795198","VYBE","DAHON","BRUIN","VOUW","overig"
"PL0100_BVH_2836716","OLD DUTCH","BATAVUS","ZWART","OPOE","opoe"
"PL0100_BVH_1478947","CRITERIUM","BATAVUS","ZWART","RACE","sport"
"PL0100_BVH_2296967","LTD RACE","CUBE","BLAUW","ATB","sport"
"PL0100_BVH_2479900",NA,"SPARTA","GRIJS","DAMES","dames"
"PL0100_BVH_1559316","ORANGE","GAZELLE","GRIJS","HEREN","heren"
"PL0100_BVH_1818135","SPARTA APOLLO","GAZELLE","BLAUW","DAMES","dames"
"PL0100_BVH_1754973",NA,"BATAVUS","GROEN","DAMES","dames"
"PL0100_BVH_1749674","ORANGE","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1115612",NA,"UNION","WIT","OPOE","opoe"
"PL0100_BVH_2921477","SERBA HN8P ZILV","BATAVUS","ZILVERKLEURIG","HEREN","heren"
"PL0100_BVH_3111308","URBAN","GIANT","BLAUW","DAMES","dames"
"PL0100_BVH_2827651","OLD DUTCH","BATAVUS","ZWART","DAMES","dames"
"PL0100_BVH_3513479","DAMESFIETS","UNION","BLAUW","DAMES","dames"
"PL0100_BVH_2234220",NA,"ONBEKEND","WIT","DAMES","dames"
"PL0100_BVH_1387715",NA,"BATAVUS","GRIJS","DAMES","dames"
"PL0100_BVH_1442318","NL","GAZELLE","ZWART","HEREN","heren"
