,DDINDIENIN,OMSCHRIJVI,TYPE,geometry,x,y
485,2013-09-12,"EMG Horeca, Eemskanaal NZ 48,m CMG Garrit, 28 sept, 3 en 17 okt 2013",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.589412738208382 53.22041862010742),6.589412738208382,53.220418620107424
486,2013-09-17,"Oud & Nieuwfeest 2014, EMG Faktors, Eemskanaal 48",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.589412738208382 53.22041862010742),6.589412738208382,53.220418620107424
487,2014-01-13,"EMG Silo, Eurosonic/Freesonic, 16 en 17 januari 2014, Eemskanaal 48 NZ",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.589412738208382 53.22041862010742),6.589412738208382,53.220418620107424
488,2002-04-22,"Zwanestraat 28, Koninginnenacht",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.563616375387635 53.21808993985073),6.563616375387635,53.21808993985073
489,2011-08-10,"Gronings Ontzet 27 augustus 2011, Poeleplein, RESP Showproductions",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.571199488865028 53.21821716044902),6.5711994888650285,53.218217160449015
490,2015-06-09,"Swingin Groningen, Pieter Spoelstra Producties, 12 en 13 juni 2015, GM, Poelestraat, Ellebogen, Zuiderdiep, Waagplein",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.563616375387635 53.21808993985073),6.563616375387635,53.21808993985073
491,2009-04-08,"Koninginnenacht en -dag 2009, RESP Showproductions, Poelestraat",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570127856922427 53.21841909902666),6.570127856922427,53.21841909902666
492,2008-04-07,"Koninginnenacht & -dag, Hemelvaart 2008, RESP,",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.569732861800909 53.21814844641764),6.569732861800909,53.218148446417636
493,2011-05-10,"Roze zaterdag 2 juli 2011, HCG, Grote Markt ZZ 36 t/m 39",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.56815279360672 53.21820025664554),6.56815279360672,53.21820025664554
494,2006-08-31,"Open dag Euroborg 16 september 2006, Noorderpoortcollege",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.591536264644466 53.20615331344431),6.591536264644466,53.20615331344431
