,CODE,NAAM,OPP,OPP_HA,INW,geometry,x,y
0,BU00140402,Bloemenbuurt,232492,23,2858,"POLYGON ((6.582172120279119 53.22410707763052, 6.581758878720292 53.22443362390201, 6.58060110447019 53.22530217559268, 6.581298819036355 53.22561856516667, 6.581698352951367 53.2257219764383, 6.582522257211088 53.22594948549786, 6.58268148961883 53.22603032562341, 6.582990461349049 53.22620192177174, 6.583763999088544 53.22680559138049, 6.584414362511477 53.22711862505244, 6.584952314257764 53.22730457751858, 6.585831590137545 53.22757008095465, 6.585890713386795 53.22750099647006, 6.587256214085905 53.22596631185866, 6.587633507463101 53.22513363266554, 6.587910278921552 53.2248441974297, 6.589149771293141 53.22230534993734, 6.584797269598844 53.22088830709428, 6.583506442375949 53.22052537163952, 6.583153057730248 53.22092483545134, 6.583962213628797 53.22219095069803, 6.583650365000664 53.22261453431464, 6.583450197510092 53.22279949311518, 6.583130308810429 53.22314389532173, 6.582172120279119 53.22410707763052))",6.585203151812943,53.22409322033175
1,BU00140403,Florabuurt,286984,29,1172,"POLYGON ((6.585964775256837 53.2298777315792, 6.588075498210347 53.23065807685746, 6.590089890226094 53.22906261079539, 6.591781743086797 53.22764635980985, 6.593853379919678 53.22591201972136, 6.593160188380446 53.22558900694293, 6.592972418882836 53.22529529468907, 6.592749514527831 53.22398510496193, 6.592515366147446 53.22359475079391, 6.592154322790091 53.22332536946143, 6.591446740313967 53.22305407341886, 6.589149770963146 53.2223053497982, 6.588642119365343 53.22334520081408, 6.58791027882933 53.2248441972917, 6.587633507370493 53.22513363252794, 6.587256213992769 53.22596631172222, 6.585890713052211 53.22750099633815, 6.585831590321289 53.2275700810101, 6.584315831220283 53.22934113310616, 6.585141522408831 53.22961389805635, 6.585964775256837 53.2298777315792))",6.589291464009307,53.22662050774452
2,BU00140107,Laanhuizen,205779,21,1247,"POLYGON ((6.55662972077546 53.21047322822012, 6.556723008551708 53.20999837608545, 6.556858889833147 53.20962070086857, 6.557266557264716 53.20898138683422, 6.557760512234856 53.20806858167507, 6.556461907526761 53.2078134111207, 6.550262590918337 53.20615611002383, 6.550097927600669 53.2064578428515, 6.548851118080362 53.20873608713698, 6.548720532362189 53.20897364027942, 6.548639900736132 53.20910260930073, 6.548586635824117 53.20917125621683, 6.548527374601999 53.20924763079158, 6.548391833362035 53.20939535195544, 6.548189061602706 53.20957996659032, 6.547989560524147 53.2097224836312, 6.547800647163823 53.20983971833547, 6.547585424105438 53.20995492676871, 6.547439494083618 53.21002724739576, 6.547134793205265 53.21014999601638, 6.547021183010669 53.21019140593016, 6.549330530852515 53.21024311053799, 6.55662972077546 53.21047322822012))",6.552704876077415,53.208710860075605
3,BU00140109,Martini Trade Park,251990,25,0,"POLYGON ((6.559202605507712 53.20244796502224, 6.5593723376071 53.20215092599241, 6.558733233726893 53.20202496924919, 6.557876807077927 53.20185617529834, 6.557037322410812 53.20168610674197, 6.556064864042441 53.20147139734991, 6.555199993556652 53.20126129501396, 6.554585461673983 53.20109989202849, 6.554137519481743 53.20097352782707, 6.553566803065909 53.200807646328, 6.546404956361767 53.19850922953059, 6.54486583354293 53.2002830412502, 6.545395294918788 53.2004050104579, 6.545770431860803 53.20046515007982, 6.546611533906821 53.20056586278223, 6.54721612313454 53.20068588753872, 6.547831345524367 53.20086394343883, 6.549054327642885 53.20126937983639, 6.549994429123602 53.2015885431234, 6.550312029260698 53.20167104869341, 6.551158614556488 53.20184528801192, 6.552567961512285 53.2022342726868, 6.552041265099574 53.2030391313664, 6.551517857507163 53.20390945963067, 6.556196007583111 53.20519696107028, 6.557100301254803 53.20376286589892, 6.558327130206818 53.20406409685562, 6.559003914245182 53.20294191308965, 6.559202605507712 53.20244796502224))",6.552791509486427,53.201912810804494
4,BU00140600,Sterrebosbuurt,617139,62,376,"POLYGON ((6.579349215746365 53.20110334372613, 6.577791090371232 53.20089255146532, 6.577748501609786 53.20088678949655, 6.574720086389933 53.20054511162409, 6.573296937731144 53.20164894029421, 6.572919485858919 53.20161118058873, 6.57295457550403 53.20152261261175, 6.572928338290632 53.20143006699083, 6.572295447993633 53.20114884555803, 6.572282827429381 53.20101597078174, 6.572585241469611 53.20079578029659, 6.570896918294316 53.20014439970704, 6.570438753982724 53.19994510733797, 6.569527934471926 53.20069617831575, 6.569372769610997 53.20069891790188, 6.567618941499561 53.19992293759036, 6.567225666679073 53.19988077274915, 6.566864760302012 53.19972387246011, 6.565053759955729 53.19963682450221, 6.564579604024797 53.19975458532704, 6.565102488436977 53.20049369221498, 6.565170041817967 53.20060671260621, 6.565261054945147 53.20075898139022, 6.565361428307304 53.20098171501773, 6.56543216625389 53.2012343627996, 6.565452540285595 53.20147232686859, 6.565422424128306 53.20182253344441, 6.565327443774533 53.20216558966542, 6.565260439353903 53.2023159709407, 6.565100459968717 53.20259759800361, 6.564885603656147 53.20292774942857, 6.564746082281654 53.20314213715531, 6.564689764585188 53.20322867394975, 6.568536497483601 53.20407710107997, 6.568722115870375 53.20411803669894, 6.570228014336009 53.20445983277324, 6.573855165812359 53.20528299280706, 6.574164248998322 53.205351757767, 6.574925939638026 53.20552121468207, 6.576448326470749 53.20587690369668, 6.576826805156053 53.20598278809211, 6.577165027069574 53.20609482165901, 6.577586610832602 53.20625966444694, 6.577909575627834 53.20641572380642, 6.578300737346655 53.20662735290792, 6.578633152031641 53.20683943453098, 6.579804369235801 53.20758665071149, 6.579876607508903 53.2075510519768, 6.58343917467886 53.20587294988147, 6.582803444360773 53.20523431961943, 6.582834758463115 53.20521136981219, 6.583824134588297 53.20469305118874, 6.583346403765442 53.20428812298632, 6.583773341044554 53.20294738950602, 6.583340098989343 53.20276682156215, 6.579349215746365 53.20110334372613))",6.574799991868616,53.20320214688363
5,BU00140103,Rivierenbuurt,563996,56,4462,"POLYGON ((6.573979027755754 53.20566649176742, 6.574164248998322 53.205351757767, 6.573855165812359 53.20528299280706, 6.570228014336009 53.20445983277324, 6.568722115870375 53.20411803669894, 6.568536497483601 53.20407710107997, 6.564689764585188 53.20322867394975, 6.563691946102297 53.20301563994276, 6.563464709930448 53.20297002490056, 6.563021611540933 53.20461181781337, 6.562473074756986 53.20562061726162, 6.561477044937887 53.20745227766943, 6.560378057276393 53.20931063611704, 6.55950922909155 53.21003804165841, 6.559334082465914 53.21056231225219, 6.561049523703509 53.2106160835957, 6.562734526288216 53.210541173589, 6.568056443357043 53.21071806325676, 6.570737865079258 53.21078779565539, 6.571320356870775 53.21073981151186, 6.571361159373886 53.21066643932681, 6.571853219497528 53.20976563522761, 6.57211416303491 53.2092746609151, 6.572120268573234 53.20926317299293, 6.572479435640999 53.20858294705433, 6.573780279422071 53.20613638177397, 6.573979027755754 53.20566649176742))",6.566929070039008,53.207396516166654
6,BU00140104,Grunobuurt,230249,23,2186,"POLYGON ((6.562473074756986 53.20562061726162, 6.563021611540933 53.20461181781337, 6.563464709930448 53.20297002490056, 6.560044539278227 53.2022834012829, 6.55960800961467 53.20219737197762, 6.5593723376071 53.20215092599241, 6.559202605507712 53.20244796502224, 6.559003914245182 53.20294191308965, 6.558327130206818 53.20406409685562, 6.5581470310082 53.20666652399786, 6.558145537350212 53.20668810605868, 6.557872349555335 53.20777642045622, 6.557760512234856 53.20806858167507, 6.557266557264716 53.20898138683422, 6.556858889833147 53.20962070086857, 6.556723008551708 53.20999837608545, 6.556629720536179 53.21047322808387, 6.559334082465914 53.21056231225219, 6.55950922909155 53.21003804165841, 6.560378057276393 53.20931063611704, 6.561477044937887 53.20745227766943, 6.562473074756986 53.20562061726162))",6.559997204134972,53.20616596408412
7,BU00140906,De Held,975863,98,2682,"POLYGON ((6.513386293414658 53.22172062954873, 6.513383644995961 53.22169033769031, 6.510402004909994 53.22178310934088, 6.508069676064631 53.22167163660944, 6.507396444405646 53.22295398952903, 6.507080314286045 53.22349977066815, 6.507070386372648 53.22433848206013, 6.507167117109554 53.22499772543132, 6.507459520879237 53.22593014774937, 6.507587510120597 53.22662239058509, 6.507585200554153 53.22680235952941, 6.507577282226112 53.22741937334188, 6.507191412778709 53.23036815500921, 6.507156591997086 53.23105092963749, 6.507183129851735 53.23149764994616, 6.507351851047083 53.23184556954097, 6.507695466271987 53.232143542995, 6.508158115787759 53.23237642981261, 6.508714459148431 53.23251737217361, 6.509619299924784 53.23260772123346, 6.509866202229286 53.23262200847406, 6.511557624442712 53.23271987033806, 6.513378973055294 53.23282522229, 6.515352886483636 53.23305316290539, 6.516571438077443 53.23327612141422, 6.517436126537763 53.23356159845642, 6.517672730138428 53.23366844621088, 6.518382595208094 53.23111973515334, 6.519078995764673 53.22861907309461, 6.519085332069161 53.22859631910951, 6.51937645482561 53.22862701518893, 6.519464582945159 53.22711838801595, 6.519523447871603 53.22611064950322, 6.520139633143879 53.22512737657421, 6.520612542881395 53.22437270198952, 6.520013558865475 53.22364102531166, 6.52012310851689 53.22303245359868, 6.520089981296299 53.22276488439856, 6.519987959524182 53.22254062808075, 6.519808915337321 53.22235404141233, 6.519401287597212 53.22218843776855, 6.519067411185671 53.22208157899779, 6.51874863888926 53.22201869134374, 6.518249097996495 53.22199210158149, 6.517835520671547 53.22198047976627, 6.517278618284434 53.22193783320946, 6.51673312660493 53.22188573539633, 6.516455108280243 53.22185113873895, 6.515953380690127 53.22185764415447, 6.515663242885719 53.22188327911255, 6.514627249381026 53.22192266312611, 6.513404140327451 53.22195203026442, 6.513386293414658 53.22172062954873))",6.513406094717289,53.22717372439568
8,BU00140803,Vierverlaten,1104018,110,138,"POLYGON ((6.46973947788234 53.22040759721894, 6.469767913755198 53.22046863544777, 6.469782983862819 53.22046123019418, 6.474894639161842 53.21794917376459, 6.480005699960509 53.21543689912986, 6.482974421076887 53.21409090641845, 6.48446061622726 53.2136639545671, 6.486157533901653 53.21329838030626, 6.487441034683604 53.2131289347898, 6.489399617311085 53.21294920461096, 6.48918315845275 53.21211546705844, 6.489235367147827 53.21128600096803, 6.490024682051759 53.20985894405229, 6.488302917973293 53.20951695634295, 6.48721853761419 53.21142539094118, 6.486298160545624 53.21147791179316, 6.486164254589579 53.21174445995587, 6.481913673889427 53.21092393588797, 6.479982498845334 53.21045555357433, 6.478110596062534 53.20999839173187, 6.476689003565815 53.20977489101192, 6.476427414784747 53.20973376231109, 6.470593872461921 53.20837718109901, 6.468281941420929 53.20783944278248, 6.46467910103041 53.20745942868731, 6.464551039899715 53.20761195373231, 6.46447360938136 53.20761432050877, 6.464582094642662 53.20763822930734, 6.464584068008602 53.20769940816066, 6.464680876766375 53.20769922167707, 6.464677488568851 53.20772783746854, 6.464678024182996 53.20778237039814, 6.464681788264428 53.20784632789822, 6.464683034499317 53.20790294824673, 6.464694091517707 53.20796163718659, 6.464715964326097 53.20802007621439, 6.464744633653581 53.20809296703467, 6.46479522221633 53.20822975111267, 6.464832927880684 53.20833428230866, 6.464869210788644 53.20843997651453, 6.464871760879586 53.20844740323299, 6.464911197936433 53.20855172114825, 6.464965233177827 53.20868261512487, 6.46501273544922 53.2087892059651, 6.465059218024956 53.20889811541919, 6.465129583631287 53.20905538109965, 6.465177132890592 53.20916742611539, 6.465232189874442 53.20929601028784, 6.465289409793662 53.20943088336155, 6.465347092865255 53.20957771297638, 6.465417923455242 53.20974693502166, 6.465488445357262 53.20992056306892, 6.465542530299355 53.21005691097164, 6.46562558235649 53.2102617524576, 6.465710396000902 53.21046637135711, 6.465793866110832 53.21067770602731, 6.46583237994016 53.21077304561718, 6.465878712673985 53.21088777916241, 6.465960345817744 53.21108841857658, 6.466044946056981 53.21130835173206, 6.46612841945521 53.21151968610259, 6.466217285631024 53.21174673382539, 6.466335075311773 53.21203681162619, 6.466422769535503 53.21224980620031, 6.466503311607742 53.21244730980831, 6.466585352723278 53.21265446010747, 6.466655776445732 53.21281717891663, 6.466755138342301 53.21308004986258, 6.466875500268542 53.2133829183254, 6.466944180117554 53.21354585033178, 6.466966321785682 53.21359443751195, 6.466977415615709 53.21362144923916, 6.467018300349388 53.21369282763798, 6.467084603664266 53.21379054064792, 6.467131376723941 53.21385791205102, 6.467165834456783 53.21391589580513, 6.467200708987232 53.21398037286749, 6.467229217282407 53.21403690046311, 6.467242165423419 53.21407460710077, 6.467250601269036 53.21411505922195, 6.467263240359507 53.21415717190885, 6.467272031775387 53.21419867221992, 6.467279091978749 53.21424038581224, 6.467293940499111 53.21429423264028, 6.46729893048187 53.21434056583472, 6.467303101769241 53.21437390327278, 6.467316003630277 53.21440615565305, 6.467350893087135 53.21450775479133, 6.467395641585813 53.2146168765226, 6.467451639096253 53.21476937250181, 6.46749495097725 53.214874301553, 6.467535234086276 53.21499161397035, 6.467580971520954 53.21513008483929, 6.467629389622412 53.21525001085942, 6.467629676996776 53.21525072717267, 6.467672680740955 53.21536006219255, 6.467713999927562 53.21547506472389, 6.467758904620127 53.21560053988799, 6.467805864877617 53.21572139555278, 6.467848312715544 53.21584498771617, 6.467901022162356 53.21598260485148, 6.467919321283545 53.21602950107955, 6.467946546006866 53.21609926781893, 6.467952838489358 53.21611622213198, 6.467995731965579 53.21623185737772, 6.468048395818013 53.2163640201876, 6.468082871743654 53.2164591257281, 6.468129787301344 53.21657452698688, 6.468172113864135 53.21668721078596, 6.468208706940503 53.21678314191826, 6.468248684790177 53.21690486006361, 6.468293546196813 53.21702488970553, 6.468337634911562 53.21713735986029, 6.46837493991525 53.21723538730213, 6.46844163810949 53.21740840078603, 6.46848582048141 53.21749465711998, 6.468520901068929 53.2175809415439, 6.468546600612553 53.21763454660596, 6.468591633818386 53.21770213077363, 6.468634688638527 53.2177797973625, 6.468662950119477 53.21783406226294, 6.468707413345268 53.21788543132921, 6.468750531870367 53.2179578493263, 6.468787234539472 53.21803772082941, 6.468844224827913 53.21818105010374, 6.468900787732664 53.21832762723785, 6.468950316225684 53.21845394084928, 6.469006741795112 53.21860337679212, 6.469059776057986 53.21873275001515, 6.469103988968095 53.21884943328278, 6.469149942355988 53.21896386326009, 6.469183500425136 53.21905262342689, 6.46925751266579 53.21923706385851, 6.469351053227111 53.21946233239354, 6.469395177210846 53.21956583350511, 6.469451581683082 53.2196969643977, 6.469465020057426 53.21972659667268, 6.469481976344444 53.21976397931019, 6.469526498841025 53.21988038103059, 6.469637895880035 53.22016390786648, 6.46968558396638 53.22029189119779, 6.469692071821321 53.22030583324802, 6.46973947788234 53.22040759721894))",6.474652793974496,53.21310616626089
9,BU00140804,Zuidwending,1632673,163,46,"POLYGON ((6.476495146036645 53.23615377077621, 6.476654898323741 53.2365023526111, 6.476656339725339 53.23648465356787, 6.476767730430928 53.23511683921259, 6.477194289453993 53.23421434430445, 6.481148392583166 53.2288944641698, 6.485823446241992 53.2221529258398, 6.488220913067115 53.21876966289916, 6.48905446093578 53.2176971368795, 6.489689195538448 53.21540241754673, 6.489913180278919 53.21438498908297, 6.490055467642885 53.21391819112429, 6.489399617311085 53.21294920461096, 6.487441034683604 53.2131289347898, 6.486157533901653 53.21329838030626, 6.48446061622726 53.2136639545671, 6.482974421076887 53.21409090641845, 6.480005699960509 53.21543689912986, 6.474894639161842 53.21794917376459, 6.469782983862819 53.22046123019418, 6.469767913755198 53.22046863544777, 6.469798751418909 53.22053482896823, 6.469816204323234 53.22057228794814, 6.469824599812058 53.22059364440823, 6.469829955394824 53.22060721025722, 6.469865371204284 53.22069710368134, 6.469956224004684 53.22092420216403, 6.4701340673433 53.221378910018, 6.470253200309096 53.22167625911714, 6.470386499035277 53.22202318313961, 6.470562961003217 53.22247856770333, 6.47077562988006 53.22301687359174, 6.471149565996681 53.22396699973079, 6.471241556455856 53.22420368411332, 6.471271105040862 53.22427971036841, 6.471495170215902 53.22484002696083, 6.471645232501891 53.22522464792002, 6.471765690097628 53.22553335988372, 6.47199663158105 53.22611236752183, 6.472131610808304 53.22645711738986, 6.472311466666703 53.2269149934018, 6.472602821050733 53.22762712365473, 6.472727686075382 53.22793548011492, 6.472862130783551 53.22825431757144, 6.472974108738162 53.22852762719517, 6.473038391723969 53.22868055736548, 6.473078879768329 53.22877689185304, 6.473177760151965 53.22902351384251, 6.473273672856561 53.22925092307792, 6.47335795916298 53.22945782304224, 6.473401658030673 53.22956327632669, 6.47344647109297 53.22966955522738, 6.47349458943135 53.2297714818156, 6.473520693467734 53.22981800087485, 6.473551284355438 53.22986785813484, 6.47358431268382 53.22991101655519, 6.473618672430142 53.22997555912134, 6.473690868468794 53.2300630244884, 6.473747989149546 53.2301268667138, 6.473820189751242 53.23019067122465, 6.47383719385036 53.23020879525107, 6.473863492345799 53.23023681881716, 6.473875479892325 53.23024959652437, 6.474005295084723 53.23038790523956, 6.47411866031872 53.23052652454773, 6.474226312673019 53.23066483604276, 6.474353120491063 53.23082816231187, 6.474189511828292 53.23090992719587, 6.474120840421345 53.2309573224475, 6.474065483105054 53.23099461338881, 6.47401022744707 53.23103297274371, 6.473945625668836 53.2310855879789, 6.47391909904595 53.23110687391542, 6.473875747691578 53.23115767916814, 6.473839737248245 53.23121037693471, 6.473812527928255 53.23126169200171, 6.473793799771201 53.23130842817665, 6.473784498497367 53.23136020114717, 6.473782319549433 53.23141172092208, 6.47378180474607 53.23146212032398, 6.473785679979695 53.23152093601498, 6.473792084054288 53.23156894534169, 6.473804353822842 53.23162211356973, 6.473830751905669 53.23167371608238, 6.473858727204547 53.23172312065608, 6.473894348937155 53.2317776230659, 6.473929243510297 53.23182464652577, 6.474076953514196 53.23196743896411, 6.474155479047604 53.23204081920844, 6.47426953139823 53.23214940913908, 6.47441359549003 53.23229125468728, 6.474562102006676 53.23246080926545, 6.474641611425587 53.23256309793693, 6.474787977704985 53.23276595658633, 6.474979936533679 53.23307120419652, 6.475026229851903 53.23315566844699, 6.475151140374413 53.23338360394825, 6.475405326535608 53.23390856593492, 6.475691731749023 53.23452672773836, 6.475923593925519 53.23502352148755, 6.476053572303561 53.23528216981826, 6.476057893055347 53.23529077535904, 6.476361126817047 53.23589367690766, 6.476495146036645 53.23615377077621))",6.4794492171294324,53.22246454409807
