,horecatype,naam,objecttype,geometry,x,y
392,restaurant,Bimi,node,POINT (6.5634587 53.2234987),6.5634587,53.2234987
393,restaurant,Oven en Stoven,node,POINT (6.5628058 53.2241463),6.5628058,53.2241463
394,fast_food,Big Danas,node,POINT (6.5638703 53.2231554),6.5638703,53.223155399999996
395,bar,Coffee to go,node,POINT (6.571372700000001 53.21967579999999),6.571372700000001,53.21967579999999
396,cafe,Croissanterie het Opstapje,node,POINT (6.5649662 53.21868049999998),6.5649662,53.218680499999984
397,cafe,Koffieshop Metamorphose,node,POINT (6.563726 53.22037690000001),6.563726,53.220376900000005
398,cafe,Spaak,node,POINT (6.5630629 53.2207274),6.5630629,53.2207274
399,restaurant,Cave Oporto,node,POINT (6.560369999999999 53.21664710000001),6.560369999999999,53.21664710000001
400,fast_food,t Stoepje,node,POINT (6.5623708 53.22073189999999),6.5623708,53.22073189999999
401,bar,Metalcafé de Witte Wolf,node,POINT (6.563773100000001 53.2203343),6.563773100000001,53.2203343
402,restaurant,Smaeck,node,POINT (6.5648123 53.21881799999999),6.5648123,53.21881799999999
403,restaurant,Land van Konkanje,node,POINT (6.5649149 53.2190562),6.5649149,53.2190562
404,restaurant,Brussels Lof,node,POINT (6.562283600000001 53.21789919999999),6.562283600000001,53.21789919999999
405,bar,De Witte Raaf,node,POINT (6.5621619 53.2171046),6.5621619,53.2171046
406,restaurant,Felix Fine Food,node,POINT (6.5606434 53.21665079999999),6.5606434,53.21665079999999
407,cafe,De Soepwinkel,node,POINT (6.5623891 53.2186426),6.5623891,53.2186426
408,cafe,Novo Konditerei,node,POINT (6.563293399999999 53.2175974),6.563293399999999,53.217597399999995
409,fast_food,Pure Frozen,node,POINT (6.566438200000001 53.21759109999999),6.566438200000001,53.21759109999999
410,fast_food,iScream,node,POINT (6.5623519 53.21895159999999),6.5623519,53.21895159999999
411,fast_food,Tosti World,node,POINT (6.565523700000001 53.2171426),6.565523700000001,53.217142599999995
412,restaurant,Sumo,node,POINT (6.564292700000001 53.2167184),6.564292700000001,53.2167184
413,restaurant,Hock Sieng,node,POINT (6.5655567 53.2171809),6.5655567,53.217180899999995
414,cafe,Croissanterie Pigalle,node,POINT (6.5635537 53.2176278),6.5635537,53.2176278
415,restaurant,Pastafabriek,node,POINT (6.5634426 53.21781959999999),6.5634426,53.21781959999999
416,fast_food,Frietwinkel,node,POINT (6.5651348 53.21490919999999),6.5651348,53.214909199999994
417,cafe,N25,node,POINT (6.5623021 53.21903139999999),6.5623021,53.21903139999999
418,cafe,Bij Britta,node,POINT (6.562236500000001 53.2191111),6.562236500000001,53.2191111
419,cafe,Feel Good,node,POINT (6.5622041 53.2191679),6.5622041,53.2191679
420,restaurant,The Alley,node,POINT (6.5648497 53.2164921),6.5648497,53.2164921
421,fast_food,Il Gusto,node,POINT (6.562104300000001 53.2192453),6.562104300000001,53.2192453
422,cafe,Anna's Lunchcafé,node,POINT (6.564607799999999 53.2157139),6.564607799999999,53.2157139
423,fast_food,Toscana,node,POINT (6.5648943 53.2153354),6.5648943,53.2153354
424,restaurant,Eeterie de Globe,node,POINT (6.5625349 53.2161523),6.5625349,53.216152300000005
425,restaurant,Papa Joe,node,POINT (6.5651044 53.2153729),6.5651044,53.2153729
426,fast_food,Turkey Chicken,node,POINT (6.561134000000001 53.2202028),6.561134000000001,53.2202028
427,restaurant,XO,node,POINT (6.564234 53.21614959999999),6.564234,53.216149599999994
428,restaurant,Midi Brasserie,node,POINT (6.565032000000001 53.21545429999998),6.565032000000001,53.21545429999998
429,cafe,++,node,POINT (6.561406600000001 53.22022820000001),6.561406600000001,53.22022820000001
430,cafe,Coffeeshop The Clown,node,POINT (6.5647347 53.21585069999999),6.5647347,53.21585069999999
431,restaurant,Tapasco,node,POINT (6.565068 53.2165426),6.565068,53.2165426
432,restaurant,Dubbeljoe,node,POINT (6.5649245 53.21527799999999),6.5649245,53.21527799999999
433,restaurant,Soupdogg,node,POINT (6.5651227 53.21531259999999),6.5651227,53.21531259999999
434,restaurant,Eetcounter Sip Bloemberg,node,POINT (6.5678755 53.19611170000001),6.5678755,53.19611170000001
435,fast_food,Rossini,node,POINT (6.5470939 53.2167803),6.5470939,53.2167803
436,fast_food,Domino's Pizza,node,POINT (6.542372300000001 53.2304566),6.542372300000001,53.2304566
437,fast_food,De Haringspecialist,node,POINT (6.5408119 53.23222549999998),6.5408119,53.232225499999984
438,restaurant,Chez Nous,node,POINT (6.5741051 53.22132049999999),6.5741051,53.22132049999999
439,cafe,Bartista,node,POINT (6.565803200000001 53.2131172),6.565803200000001,53.2131172
440,restaurant,tapasstraatje,node,POINT (6.5690859 53.2180091),6.5690859,53.2180091
441,cafe,coffeecompany,node,POINT (6.57028 53.2165279),6.57028,53.2165279
442,bar,coffeeshop upper 10,node,POINT (6.5718523 53.2164344),6.5718523,53.2164344
443,nightclub,vipclub,node,POINT (6.5696887 53.21717550000001),6.5696887,53.21717550000001
444,bar,café kanarie,node,POINT (6.570725800000001 53.2161704),6.570725800000001,53.216170399999996
445,bar,het catshuys,node,POINT (6.5722135 53.21667780000001),6.5722135,53.21667780000001
446,pub,Twister,node,POINT (6.5709611 53.218243),6.5709611,53.218243
447,cafe,van diepen,node,POINT (6.568839699999999 53.21711519999999),6.568839699999999,53.217115199999995
448,cafe,casa de la musica,node,POINT (6.5687846 53.2171718),6.5687846,53.2171718
449,restaurant,de gulzige kater,node,POINT (6.5729046 53.2172179),6.5729046,53.2172179
450,cafe,t Gronings broodjeshuis,node,POINT (6.569171 53.2165942),6.569171,53.2165942
451,bar,chupitos shooter bar,node,POINT (6.5688807 53.21706729999999),6.5688807,53.21706729999999
452,restaurant,Caïro shoarma grill,node,POINT (6.570834900000001 53.2179489),6.570834900000001,53.2179489
453,fast_food,Klein Groningen,node,POINT (6.5694496 53.21824830000001),6.5694496,53.218248300000006
454,bar,the end karaoke,node,POINT (6.5682334 53.2178668),6.5682334,53.217866799999996
455,restaurant,de stadhouder,node,POINT (6.568312 53.2177349),6.568312,53.2177349
456,restaurant,tekinev,node,POINT (6.5684649 53.2175352),6.5684649,53.2175352
457,pub,Oblomov,node,POINT (6.569732499999999 53.2182557),6.569732499999999,53.2182557
458,cafe,pappa joe's,node,POINT (6.56907 53.21674179999999),6.56907,53.216741799999994
459,restaurant,de pauw,node,POINT (6.5691205 53.21669440000001),6.5691205,53.21669440000001
460,restaurant,proevens,node,POINT (6.5691675 53.21653389999999),6.5691675,53.216533899999995
461,restaurant,Imono,node,POINT (6.5683988 53.21762069999998),6.5683988,53.21762069999998
462,pub,A.S.V. Dizkartes,node,POINT (6.5708708 53.21762079999999),6.5708708,53.21762079999999
463,pub,Wolter wolters,node,POINT (6.5696503 53.2183646),6.5696503,53.2183646
464,restaurant,Warung Jawa,node,POINT (6.5642099 53.214376),6.5642099,53.214376
465,pub,d'olle grieze,node,POINT (6.566362100000001 53.21530559999999),6.566362100000001,53.21530559999999
466,pub,De Kale Jonker,node,POINT (6.5621527 53.21463889999999),6.5621527,53.21463889999999
467,fast_food,Star,node,POINT (6.5628669 53.21446489999999),6.5628669,53.21446489999999
468,bar,Coffeeshop de Medley,node,POINT (6.566862900000001 53.21446769999999),6.566862900000001,53.21446769999999
469,restaurant,Filoxenia,node,POINT (6.569789 53.2174542),6.569789,53.2174542
470,cafe,Bees Koffieshop,node,POINT (6.5704251 53.2174176),6.5704251,53.2174176
471,pub,Klein Amsterdam,node,POINT (6.570071 53.2183866),6.570071,53.218386599999995
472,fast_food,Konbu Streetfood,node,POINT (6.5693488 53.21796799999999),6.5693488,53.21796799999999
473,pub,The Jack,node,POINT (6.5710376 53.2173177),6.5710376,53.2173177
474,fast_food,Subway,node,POINT (6.5655963 53.21430279999998),6.5655963,53.214302799999984
475,restaurant,Da Carlo,node,POINT (6.5682978 53.21485180000001),6.5682978,53.214851800000005
476,pub,Café the Crown,node,POINT (6.571327800000001 53.21585719999999),6.571327800000001,53.215857199999995
477,fast_food,Capadocië,node,POINT (6.5721512 53.21839439999999),6.5721512,53.21839439999999
478,restaurant,De Groningen Stadskranten,node,POINT (6.5704131 53.2184175),6.5704131,53.2184175
479,restaurant,Grandcafe Groningen,node,POINT (6.5672275 53.21455869999999),6.5672275,53.21455869999999
480,pub,'t Gat van Groningen,node,POINT (6.5722287 53.2183923),6.5722287,53.2183923
481,restaurant,Blokes,node,POINT (6.5710291 53.2182755),6.5710291,53.2182755
482,bar,Café Style,node,POINT (6.5676945 53.214679),6.5676945,53.214679
483,restaurant,Da Mino,node,POINT (6.5677702 53.2146836),6.5677702,53.2146836
484,fast_food,Amsterdams Broodjeshuis,node,POINT (6.5701185 53.21532310000001),6.5701185,53.215323100000006
485,restaurant,Het zusje van André Dokter,node,POINT (6.5696179 53.21765979999999),6.5696179,53.217659799999986
486,cafe,Brownies en Downies,node,POINT (6.5699794 53.21718109999999),6.5699794,53.21718109999999
487,pub,Barrel wijnlokaal,node,POINT (6.565787200000001 53.21578120000001),6.565787200000001,53.21578120000001
488,pub,Bar Players,node,POINT (6.5701324 53.2183949),6.5701324,53.2183949
489,pub,Buckshot,node,POINT (6.5670594 53.2145088),6.5670594,53.2145088
490,restaurant,Houdt van eten,node,POINT (6.5690775 53.2145336),6.5690775,53.214533599999996
491,restaurant,No. 25,node,POINT (6.571522800000001 53.2156297),6.571522800000001,53.2156297
492,fast_food,Safak Cafetaria en Grillroom,node,POINT (6.5714791 53.21571),6.5714791,53.21571
493,restaurant,Ristorante Romantica Italiano,node,POINT (6.5716345 53.21545480000001),6.5716345,53.21545480000001
494,pub,Villa Volonte,node,POINT (6.5742821 53.2173196),6.5742821,53.2173196
495,bar,Imparator,node,POINT (6.5677562 53.21539929999999),6.5677562,53.215399299999994
496,cafe,Boven Jan,node,POINT (6.567895400000001 53.2169754),6.567895400000001,53.2169754
497,cafe,Koffieshop De vliegende hollander,node,POINT (6.5666869 53.2148164),6.5666869,53.2148164
498,pub,De Oude Wacht,node,POINT (6.5704779 53.21592129999999),6.5704779,53.21592129999999
499,cafe,Croissanterie Du Nord,node,POINT (6.5678098 53.2170968),6.5678098,53.2170968
500,pub,The drinking otter,node,POINT (6.5734333 53.21815939999999),6.5734333,53.21815939999999
501,restaurant,Tong Ah,node,POINT (6.5766072 53.21801189999999),6.5766072,53.21801189999999
502,cafe,Brasserie Groen,node,POINT (6.5693007 53.21631339999999),6.5693007,53.21631339999999
503,cafe,de Doos,node,POINT (6.568032900000001 53.2175755),6.568032900000001,53.217575499999995
504,bar,Café Atlantis,node,POINT (6.566760799999999 53.2148288),6.566760799999999,53.2148288
505,restaurant,de Herbivoor,node,POINT (6.566799999999999 53.21484210000001),6.566799999999999,53.214842100000006
506,restaurant,Eetcafé Roezemoes,node,POINT (6.5699106 53.2157364),6.5699106,53.2157364
507,cafe,Hello Sandwich,node,POINT (6.5699782 53.2165681),6.5699782,53.2165681
508,restaurant,De Kleine Kasteleine,node,POINT (6.570126 53.2164692),6.570126,53.2164692
509,cafe,wadapartja,node,POINT (6.5677794 53.21509059999999),6.5677794,53.21509059999999
510,restaurant,Tapasseria Catalana,node,POINT (6.5697914 53.21571289999999),6.5697914,53.215712899999986
511,restaurant,Het lopster Veerhuis,node,POINT (6.5760687 53.21779560000001),6.5760687,53.21779560000001
512,fast_food,Lunchroom Kars,node,POINT (6.5777141 53.2184261),6.5777141,53.2184261
513,restaurant,Galitelli,node,POINT (6.5738874 53.2177702),6.5738874,53.217770200000004
514,bar,Cleopatra,node,POINT (6.567514900000001 53.21582219999999),6.567514900000001,53.21582219999999
515,restaurant,Pizzabakkerij Hans en Johnny,node,POINT (6.5685375 53.2169967),6.5685375,53.2169967
516,bar,Tram 13,node,POINT (6.5680825 53.21752459999999),6.5680825,53.21752459999999
517,bar,Coyote's,node,POINT (6.5679893 53.21761479999999),6.5679893,53.21761479999999
518,pub,Chaplin's Pub,node,POINT (6.565965800000001 53.2146593),6.565965800000001,53.2146593
519,cafe,De Luna,node,POINT (6.566186399999999 53.214682),6.566186399999999,53.214682
520,restaurant,La Martina,node,POINT (6.569989600000001 53.2157525),6.569989600000001,53.2157525
521,pub,De Burcht,node,POINT (6.5693329 53.2156572),6.5693329,53.2156572
522,fast_food,Verse Patat,node,POINT (6.568825300000001 53.21596929999999),6.568825300000001,53.21596929999999
523,pub,New Orleans Jazz Cafe,node,POINT (6.5681838 53.2173927),6.5681838,53.2173927
524,fast_food,DemDem Döner Kebap Pizza,node,POINT (6.5680455 53.2176882),6.5680455,53.217688200000005
525,restaurant,Hansato,node,POINT (6.5669629 53.2148774),6.5669629,53.2148774
526,cafe,De Betere Tijden,node,POINT (6.5684438 53.21711470000001),6.5684438,53.21711470000001
527,restaurant,Toet Pannekoek,node,POINT (6.565446 53.21464759999999),6.565446,53.21464759999999
528,fast_food,Gino's IJssalon,node,POINT (6.565547200000001 53.2146437),6.565547200000001,53.2146437
529,restaurant,Giovanni's,node,POINT (6.5670161 53.2148869),6.5670161,53.214886899999996
530,bar,Pierement,node,POINT (6.5663904 53.21511049999999),6.5663903999999995,53.215110499999994
531,pub,Proeflokaal 't Kelderke,node,POINT (6.5703663 53.21588529999999),6.5703663,53.21588529999999
532,cafe,Lokanta Günes,node,POINT (6.5635982 53.21470679999999),6.5635982,53.214706799999995
