,Type,X,Y,Adres,geometry,x,y
0,Slaapopvang,234083.271,582012.741,"Schoolstraat 11, 9712 JP Groningen",POINT (6.571180594522602 53.21888054930181),6.571180594522602,53.21888054930181
1,Medische heroïnepost,234466.513,582165.722,"Hanzeplein 125, 9713 GW Groningen",POINT (6.576954830812292 53.2201981827983),6.5769548308122925,53.2201981827983
2,Methadonpost,232853.357,581587.912,"Aweg 29, 9718 CW Groningen",POINT (6.552668087627239 53.21524411770832),6.552668087627239,53.21524411770832
3,Methadonpost,233966.073,582532.47,"Oostersingel 194, 9711 XM Groningen",POINT (6.569554077489991 53.22356707364805),6.5695540774899905,53.22356707364805
