cel,count,bushaltes,cameratoezicht_vlak,coffeeshops,horeca,onth_verg_drank_en_horeca,openbareverlichting,slaapopvang_en_methadon,verblijfsobjecten
674,57,0.5090426105,0.0000000000,0.0000873110,0.0092669108,0.0025144996,0.6115971373,0.0000000000,0.4961410880
675,40,0.5048237914,0.0000000000,0.0000012655,0.0106688801,0.0026885056,0.6226158534,0.0000000000,0.5411527581
676,57,0.4865507122,0.0000000000,0.0000000038,0.0090938921,0.0050325606,0.5911930181,0.0000000018,0.4690081605
677,14,0.4554220778,0.0000000000,0.0000000000,0.0065749713,0.0088788259,0.5016150459,0.0000000375,0.2985740028
678,2,0.4169483059,0.0000000000,0.0000000000,0.0055438796,0.0114110301,0.4088525284,0.0000004073,0.1375161436
679,0,0.3781952617,0.0000000000,0.0000000000,0.0039038663,0.0150846408,0.3704137489,0.0000023217,0.0682554572
680,2,0.3446583045,0.0000000000,0.0000000000,0.0015312980,0.0265004537,0.3750362750,0.0000069472,0.0640804881
681,0,0.3193371043,0.0000000000,0.0000000000,0.0003216820,0.0351752234,0.3849685607,0.0000109142,0.0754699439
682,3,0.3037521486,0.0000000000,0.0000000000,0.0001303382,0.0264523312,0.3994903184,0.0000090048,0.0720248751
683,6,0.2984127886,0.0000000000,0.0000000000,0.0006882401,0.0126745941,0.4460084312,0.0000039106,0.0895970096
684,0,0.3014006128,0.0000000000,0.0000000000,0.0030081599,0.0073851120,0.5411795531,0.0000009085,0.1755971445
685,5,0.3067253118,0.0000000000,0.0000000000,0.0080624883,0.0072042891,0.6607240920,0.0000001256,0.2600697039
686,15,0.3052090787,0.0000000000,0.0000000000,0.0149456214,0.0063200573,0.7410257678,0.0000000158,0.3199790707
687,6,0.2884776301,0.0000000000,0.0000000000,0.0181984166,0.0040910972,0.7154802446,0.0000000025,0.3639609493
688,6,0.2535097434,0.0000000000,0.0000000000,0.0136659570,0.0022528148,0.5651906595,0.0000000003,0.2785724971
689,0,0.2043770130,0.0000000000,0.0000000000,0.0067845050,0.0012014423,0.3541855922,0.0000000000,0.1016981571
690,0,0.0940802347,0.0000000000,0.0000000000,0.0025614336,0.0000019991,0.0340569696,0.0000000000,0.0047151338
691,2,0.1001447555,0.0000000000,0.0000000000,0.0009550793,0.0000235264,0.0757936698,0.0000000000,0.0118167479
692,0,0.1125560493,0.0000000000,0.0000000000,0.0002236517,0.0001622231,0.1391482471,0.0000000000,0.0212407027
693,0,0.1363820602,0.0000000000,0.0000000000,0.0005347947,0.0007122161,0.2164615108,0.0000000000,0.0554510263
694,3,0.1727037657,0.0000000000,0.0000000000,0.0023732562,0.0025794780,0.2800747397,0.0000000000,0.0879281219
695,0,0.2175052674,0.0000000000,0.0000000000,0.0072559958,0.0076165615,0.2946910266,0.0000000000,0.1043415381
696,2,0.2630733186,0.0000000000,0.0000000000,0.0190399304,0.0148652707,0.2534417829,0.0000000000,0.0659029984
697,17,0.3013587654,0.0000000000,0.0000000001,0.0367234958,0.0170987845,0.1907198640,0.0000000000,0.0247815949
698,19,0.3276220914,0.0000000000,0.0000000228,0.0420333115,0.0114101014,0.1524663554,0.0000000000,0.0263667382
699,2,0.3422946884,0.0000000000,0.0000019826,0.0271940626,0.0051477749,0.1609130947,0.0000000000,0.0351508288
700,0,0.3499852804,0.0000000000,0.0000359509,0.0111494386,0.0031209212,0.2124576071,0.0000000000,0.0668058484
701,0,0.3565011806,0.0000000000,0.0001360040,0.0050183897,0.0037873795,0.2854937785,0.0000000000,0.1371378867
702,3,0.3658935857,0.0000000000,0.0001073401,0.0033094467,0.0046322825,0.3475303293,0.0000000000,0.1858262464
703,0,0.3788948416,0.0000000000,0.0000176743,0.0024213794,0.0039796574,0.3859105506,0.0000000000,0.1797519442
704,0,0.3928879235,0.0000000000,0.0000006072,0.0031438788,0.0028591022,0.4297277868,0.0000000000,0.1922192272
705,0,0.4031836683,0.0000000000,0.0000000044,0.0038976807,0.0030788526,0.5026354574,0.0000000000,0.2544159533
706,9,0.4053510896,0.0000000000,0.0000000000,0.0031501888,0.0041846665,0.5614264299,0.0000000000,0.2923923666
707,6,0.3975681482,0.0000000000,0.0000000000,0.0029772835,0.0053438050,0.5445373263,0.0000000000,0.2313350313
708,0,0.3813446438,0.0000000000,0.0000000000,0.0039547347,0.0065854555,0.4691686160,0.0000000002,0.1179624141
709,0,0.3601512228,0.0000000000,0.0000000000,0.0035766491,0.0110955760,0.4016297186,0.0000000021,0.0620357486
710,4,0.3375700158,0.0000000000,0.0000000000,0.0017542919,0.0241246878,0.3621532857,0.0000000138,0.0422469470
711,31,0.3167845253,0.0000000000,0.0000000000,0.0005241412,0.0366933529,0.3303404917,0.0000000468,0.0257855675
712,1,0.3010472934,0.0000000000,0.0000000000,0.0002378999,0.0304494276,0.3092009091,0.0000000835,0.0252627572
713,0,0.2931087685,0.0000000000,0.0000000000,0.0005572855,0.0139901143,0.3330998967,0.0000000781,0.0385261811
714,1,0.2928660488,0.0000000000,0.0000000000,0.0022391952,0.0056239255,0.4255736441,0.0000000384,0.0906707634
715,8,0.2952748371,0.0000000000,0.0000000000,0.0069338179,0.0046571909,0.5585893092,0.0000000099,0.2078353915
716,8,0.2913695345,0.0000000000,0.0000000000,0.0146590595,0.0048270175,0.6563314979,0.0000000014,0.3284683407
717,72,0.2727577126,0.0000000000,0.0000000000,0.0182985843,0.0039752896,0.6453725214,0.0000000001,0.3914897279
718,10,0.2366155464,0.0000000000,0.0000000000,0.0127288525,0.0027146182,0.5073937756,0.0000000000,0.2640117536
719,0,0.1874574783,0.0000000000,0.0000000000,0.0054199242,0.0017057631,0.3078018969,0.0000000000,0.0759160466
720,0,0.0862499082,0.0000000000,0.0000000000,0.0033523371,0.0000001208,0.0123211908,0.0000000000,0.0005532546
721,0,0.0897919966,0.0000000000,0.0000000000,0.0012128036,0.0000019437,0.0376298678,0.0000000000,0.0018451012
722,0,0.1009869684,0.0000000000,0.0000000000,0.0002172228,0.0000196459,0.0991977048,0.0000000000,0.0145745518
723,0,0.1241186589,0.0000000000,0.0000000000,0.0001514847,0.0001649668,0.1955058149,0.0000000000,0.0652379650
724,0,0.1585559321,0.0000000000,0.0000000000,0.0008205483,0.0011011445,0.2819723294,0.0000000000,0.1004842354
725,1,0.1982490045,0.0000000000,0.0000000000,0.0040922787,0.0044668878,0.3057926738,0.0000000000,0.0748211983
726,0,0.2339815876,0.0000000000,0.0000000000,0.0149414290,0.0098251308,0.2608554733,0.0000000000,0.0361274452
727,3,0.2575068897,0.0000000000,0.0000000000,0.0313672799,0.0115985838,0.1821273798,0.0000000000,0.0143021234
728,9,0.2654765623,0.0000000000,0.0000000031,0.0348268493,0.0074545274,0.1111497942,0.0000000000,0.0071824245
729,0,0.2608669878,0.0000000000,0.0000001339,0.0204905956,0.0027440748,0.0758543861,0.0000000000,0.0035426345
730,0,0.2510885948,0.0000000000,0.0000012016,0.0067108643,0.0009307086,0.0829717097,0.0000000000,0.0059956981
731,0,0.2442431111,0.0000000000,0.0000022491,0.0016147991,0.0010256704,0.1188341337,0.0000000000,0.0163411005
732,0,0.2459444421,0.0000000000,0.0000008783,0.0005875966,0.0015644208,0.1586912550,0.0000000000,0.0270689086
733,0,0.2579437075,0.0000000000,0.0000000716,0.0004722011,0.0016093121,0.1933673779,0.0000000000,0.0323627798
734,0,0.2782051001,0.0000000000,0.0000000012,0.0008124284,0.0016077993,0.2498864166,0.0000000000,0.0510671449
735,0,0.3018401042,0.0000000000,0.0000000000,0.0010142793,0.0024888851,0.3580851846,0.0000000000,0.1007225210
736,0,0.3228201996,0.0000000000,0.0000000000,0.0008812548,0.0031629545,0.4892679950,0.0000000000,0.1804287583
737,2,0.3361145163,0.0000000000,0.0000000000,0.0016718467,0.0027845284,0.5720951231,0.0000000000,0.2356515473
738,4,0.3391682461,0.0000000000,0.0000000000,0.0041933166,0.0029731536,0.5804500919,0.0000000000,0.1877747149
739,0,0.3320121034,0.0000000000,0.0000000000,0.0060165366,0.0053412746,0.5422936191,0.0000000000,0.1580708935
740,1,0.3166379246,0.0000000000,0.0000000000,0.0045456573,0.0100946694,0.4757761874,0.0000000000,0.1340872259
741,1,0.2966558017,0.0000000000,0.0000000000,0.0024467241,0.0147534923,0.3857681824,0.0000000000,0.0726967726
742,5,0.2770010720,0.0000000000,0.0000000000,0.0017921985,0.0137617007,0.2969806519,0.0000000001,0.0423978974
743,0,0.2624673251,0.0000000000,0.0000000000,0.0012876053,0.0076146440,0.2535503665,0.0000000003,0.0285215991
744,0,0.2549005308,0.0000000000,0.0000000000,0.0011918883,0.0034169900,0.2897097072,0.0000000003,0.0514190620
745,4,0.2510304416,0.0000000000,0.0000000000,0.0030569376,0.0029801686,0.3879301860,0.0000000002,0.1530037970
746,5,0.2434127380,0.0000000000,0.0000000000,0.0069458107,0.0031217223,0.4735698942,0.0000000000,0.2417907366
747,5,0.2246718294,0.0000000000,0.0000000000,0.0086826883,0.0022261449,0.4729061352,0.0000000000,0.2642966670
748,1,0.1922026584,0.0000000000,0.0000000000,0.0056491185,0.0012656258,0.3695007954,0.0000000000,0.1620574555
749,0,0.1498364553,0.0000000000,0.0000000000,0.0020944752,0.0007734503,0.2180681117,0.0000000000,0.0398380570
750,0,0.0714774084,0.0000000000,0.0000000000,0.0020124248,0.0000000028,0.0058063194,0.0000000000,0.0001539390
751,0,0.0732182912,0.0000000000,0.0000000000,0.0007081168,0.0000000834,0.0194415103,0.0000000000,0.0008336661
752,0,0.0825642249,0.0000000000,0.0000000000,0.0001203882,0.0000021193,0.0602907182,0.0000000000,0.0094761745
753,0,0.1030875478,0.0000000000,0.0000000000,0.0000739927,0.0000371077,0.1339017989,0.0000000000,0.0450701998
754,1,0.1334809919,0.0000000000,0.0000000000,0.0004848853,0.0003497907,0.2101177988,0.0000000000,0.0775363170
755,0,0.1672461360,0.0000000000,0.0000000000,0.0024197237,0.0016448874,0.2440246804,0.0000000000,0.0536025363
756,0,0.1950560120,0.0000000000,0.0000000000,0.0081079118,0.0038398694,0.2240019523,0.0000000000,0.0183251073
757,1,0.2089588229,0.0000000000,0.0000000000,0.0159004394,0.0045336294,0.1680460428,0.0000000000,0.0098669426
758,0,0.2062842860,0.0000000000,0.0000000001,0.0166483054,0.0027870663,0.1012031601,0.0000000000,0.0063284709
759,0,0.1909126846,0.0000000000,0.0000000026,0.0091595669,0.0009231852,0.0515974200,0.0000000000,0.0016071858
760,0,0.1711856271,0.0000000000,0.0000000116,0.0027073327,0.0001917087,0.0354797739,0.0000000000,0.0007620965
761,0,0.1560755293,0.0000000000,0.0000000107,0.0004667698,0.0001038685,0.0457154685,0.0000000000,0.0014318602
762,0,0.1520667991,0.0000000000,0.0000000021,0.0000768195,0.0001822220,0.0632218023,0.0000000000,0.0019178616
763,0,0.1618764259,0.0000000000,0.0000000001,0.0000561659,0.0002459552,0.0819368184,0.0000000000,0.0048136312
764,0,0.1844624993,0.0000000000,0.0000000000,0.0001130997,0.0004551443,0.1253156346,0.0000000000,0.0278179575
765,1,0.2155483380,0.0000000000,0.0000000000,0.0001576018,0.0011811057,0.2261994476,0.0000000000,0.0780005745
766,0,0.2486550772,0.0000000000,0.0000000000,0.0004289699,0.0019304949,0.3812438128,0.0000000000,0.1362409471
767,7,0.2767920232,0.0000000000,0.0000000000,0.0025544868,0.0019732449,0.5397573474,0.0000000000,0.2052198284
768,2,0.2943138654,0.0000000000,0.0000000000,0.0086330434,0.0025696255,0.6519089217,0.0000000000,0.2329980892
769,8,0.2982048503,0.0000000000,0.0000000000,0.0139896008,0.0048386534,0.6984422689,0.0000000000,0.2888110146
770,14,0.2886068503,0.0000000000,0.0000000000,0.0120282425,0.0068289197,0.6702611848,0.0000000000,0.2994487885
771,4,0.2688046744,0.0000000000,0.0000000000,0.0094080442,0.0065626517,0.5684350025,0.0000000000,0.2348146639
772,3,0.2445001387,0.0000000000,0.0000000000,0.0094097417,0.0049197468,0.4212705318,0.0000000000,0.1975497472
